Job Titles,Department,Annual Salary
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
ASST DIR,PUBLIC SAFETY ADMINISTRATION,129636
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,82092
LABOR STANDARDS INVESTIGATOR,BUS AFFAIRS AND CONSUMER PROT,93804
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,86016
CAPTAIN-EMT,FIRE DEPARTMENT,147258
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
PARAMEDIC I/C,FIRE DEPARTMENT,104430
SUPERVISING FIRE MARSHAL-EMT,FIRE DEPARTMENT,135144
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,85308
SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,DEPARTMENT OF AVIATION,83724
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,108444
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,61572
FIREFIGHTER,FIRE DEPARTMENT,108036
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
PARAMEDIC I/C,FIRE DEPARTMENT,101052
CIVIL ENGINEER III,DEPARTMENT OF AVIATION,85044
FIREFIGHTER,FIRE DEPARTMENT,103914
COMMISSIONER OF HEALTH,DEPARTMENT OF PUBLIC HEALTH,197184
ASST MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,100500
PARAMEDIC,FIRE DEPARTMENT,96528
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
PARAMEDIC I/C,FIRE DEPARTMENT,104430
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
CRIMINAL HISTORY ANALYST,BUS AFFAIRS AND CONSUMER PROT,74424
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT,FIRE DEPARTMENT,127410
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,70008
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
LEGISLATIVE BUDGET ANALYST,CITY COUNCIL,82416
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC I/C,FIRE DEPARTMENT,91662
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,71448
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
COMMANDER,DEPARTMENT OF POLICE,175944
DETENTION AIDE,DEPARTMENT OF POLICE,82104
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ZONING INVESTIGATOR,DEPARTMENT OF PLANNING AND DEVELOPMENT,123660
PARAMEDIC,FIRE DEPARTMENT,80448
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,100956
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
PARAMEDIC,FIRE DEPARTMENT,88770
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
DETENTION AIDE,DEPARTMENT OF POLICE,62136
FORESTRY SUPVSR,DEPT STREETS AND SANITATION,112668
WATER RATE TAKER,DEPT OF WATER MANAGEMENT,102696
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
SUPERVISING INVESTIGATOR-COPA,COPA,123540
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION,117624
GIS ANALYST,DEPARTMENT OF PUBLIC HEALTH,62784
VENTILATION AND FURNACE INSPECTOR,DEPT OF BUILDINGS,106704
COMMANDER,DEPARTMENT OF POLICE,175944
ANIMAL CONTROL OFFICER,COMM ANIMAL CARE AND CONTROL,48588
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,90036
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
MASON INSPECTOR,DEPT OF WATER MANAGEMENT,111113.64
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
PARAMEDIC,FIRE DEPARTMENT,96528
MEDICAL ADMINISTRATOR,PUBLIC SAFETY ADMINISTRATION,127608
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
SAFETY SPECIALIST - WATER MGMT,DEPT OF WATER MANAGEMENT,102708
ADMINISTRATIVE ASST III,DEPT OF WATER MANAGEMENT,99360
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
CAPTAIN-EMT,FIRE DEPARTMENT,151764
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
FIRE MARSHAL-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
PARAMEDIC I/C,FIRE DEPARTMENT,101052
MENTAL HEALTH CRISIS CLINICIAN,DEPARTMENT OF PUBLIC HEALTH,82500
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
SUPVSR OF PERSONNEL ADMINISTRATION,DEPT STREETS AND SANITATION,103920
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,63780
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,86016
DIR OF PUBLIC AFFAIRS,COPA,96312
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,75816
PHOTOGRAPHER,OFFICE OF THE MAYOR,86112
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
MENTAL HEALTH CRISIS CLINICIAN,DEPARTMENT OF PUBLIC HEALTH,82500
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,112668
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,59856
AMBULANCE COMMANDER,FIRE DEPARTMENT,143076
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
RECOVERY TEAM PROGRAM DIRECTOR,DAIS,128856
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
ASST TO THE MAYOR,OFFICE OF THE MAYOR,151128
DEPUTY DIR,CITY CLERK,122616
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
STAFF ASSISTANT - EXCLUDED,DEPT OF HOUSING,52956
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,55596
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
PARAMEDIC I/C,FIRE DEPARTMENT,101052
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
DIR OF NEWS AFFAIRS,COPA,112128
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,40392
LIEUTENANT,FIRE DEPARTMENT,127410
PARAMEDIC,FIRE DEPARTMENT,99876
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,82500
PROJECT MANAGER,DAIS,125088
INVESTIGATOR III - IG,IG,112164
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,85452
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,102696
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,97032
FIRE ENGINEER-PARAMEDIC,FIRE DEPARTMENT,121656
LIEUTENANT,DEPARTMENT OF POLICE,145854
TRAINING OFFICER,DEPARTMENT OF PUBLIC HEALTH,68940
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,40392
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,90036
PROJECT MANAGER,DEPARTMENT OF PUBLIC HEALTH,96576
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
ELECTRICAL INSPECTOR,DEPT OF BUILDINGS,110160
LABOR RELATIONS SUPVSR,DEPARTMENT OF PUBLIC HEALTH,89532
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,90036
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
CONSTRUCTION COORD,DEPARTMENT OF AVIATION,125088
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,96246
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
PARAMEDIC,FIRE DEPARTMENT,84612
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECTS ADMINISTRATOR,DEPT OF BUILDINGS,105624
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT MANAGER,FAMILY AND SUPPORT SERVICES,95616
IT SECURITY SPECIALIST,DAIS,102612
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER,FIRE DEPARTMENT,103914
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,134028
PROGRAM COORD - SPECIAL EVENTS,DEPT OF CULTURAL AFFAIRS,125088
FISCAL POLICY ANALYST,DEPARTMENT OF FINANCE,93936
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
PARAMEDIC,FIRE DEPARTMENT,88770
CHIEF OPERATING ENGINEER,DAIS,134888.04
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,66576
DETENTION AIDE,DEPARTMENT OF POLICE,62136
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,112668
ASST COMMUNITY LIVING SPECIALIST,FAMILY AND SUPPORT SERVICES,52176
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
INVESTIGATOR SPECIALIST,FIRE DEPARTMENT,78672
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
PARAMEDIC,FIRE DEPARTMENT,84612
PARAMEDIC,FIRE DEPARTMENT,96528
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
COMMANDER,DEPARTMENT OF POLICE,175944
REGIONAL DIR - AGING,FAMILY AND SUPPORT SERVICES,69984
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,55932
CAPTAIN-EMT,FIRE DEPARTMENT,151764
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,120204
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,71436
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER,FIRE DEPARTMENT,99876
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
PROJECT MANAGER,DEPT OF HOUSING,108816
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
CIVIL ENGINEER III,DEPT OF WATER MANAGEMENT,82500
PROJECT MANAGER,PUBLIC SAFETY ADMINISTRATION,109452
LIEUTENANT,FIRE DEPARTMENT,127410
GENERAL FOREMAN OF GENERAL TRADES,CHICAGO DEPT OF TRANSPORTATION,126588.84
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,90444
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
ADMINISTRATIVE SERVICES OFFICER II,DEPARTMENT OF AVIATION,108996
PROJECT MGR - MAYOR'S OFFICE,OFFICE OF THE MAYOR,92700
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
ADMINISTRATIVE ASST,OFFICE OF THE MAYOR,82404
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
CAPTAIN-PARAMEDIC,FIRE DEPARTMENT,150756
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,64596
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
ASST TO THE ALDERMAN,CITY COUNCIL,55008
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER,FIRE DEPARTMENT,99876
ADMINISTRATIVE ASST II - EXCLUDED,DEPARTMENT OF FINANCE,67464
SUPERVISING ENFORCEMENT TECH,DEPARTMENT OF FINANCE,46176
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,75996
POLICE OFFICER,DEPARTMENT OF POLICE,56040
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
DEPUTY COMMISSIONER,DEPARTMENT OF PUBLIC HEALTH,148296
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,112812
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,129063.96
POLICY ANALYST,DEPARTMENT OF PUBLIC HEALTH,76572
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
FIREFIGHTER,FIRE DEPARTMENT,108036
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
DIR OF NEWS AFFAIRS,OFFICE OF EMERGENCY MANAGEMENT,128736
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
ASST CHIEF AIRPORT OPERATIONS SUPVSR,DEPARTMENT OF AVIATION,135684
PARKING INVESTIGATOR,DEPARTMENT OF FINANCE,74052
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
CAPTAIN-EMT,FIRE DEPARTMENT,147258
FIREFIGHTER,FIRE DEPARTMENT,99876
PARAMEDIC I/C,FIRE DEPARTMENT,96246
PUBLIC HEALTH ADM III - EXCLUDED,DEPARTMENT OF PUBLIC HEALTH,103920
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CAPTAIN-EMT,FIRE DEPARTMENT,147258
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
PROGRAM DIR,DEPARTMENT OF PLANNING AND DEVELOPMENT,85452
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,42312
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,151860
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,107604
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
PARAMEDIC,FIRE DEPARTMENT,88770
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,97032
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,108096
SUPVSR OF ELECTRICAL INSPECTORS,DEPT OF BUILDINGS,114648
LIEUTENANT,FIRE DEPARTMENT,123420
PARAMEDIC I/C,FIRE DEPARTMENT,91662
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,82092
PROJECT STRATEGY MANAGER - CPD,DEPARTMENT OF POLICE,81552
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,61308
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
DIR OF PUBLIC AFFAIRS,CITY TREASURER,99528
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PROJECT MANAGER,DEPARTMENT OF PLANNING AND DEVELOPMENT,83208
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
CULTURAL AFFAIRS COORD II,DEPT OF CULTURAL AFFAIRS,73332
PARALEGAL II,DEPARTMENT OF LAW,108996
PARAMEDIC,FIRE DEPARTMENT,80448
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PARAMEDIC I/C,FIRE DEPARTMENT,101052
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
BATTALION CHIEF,FIRE DEPARTMENT,151860
PARAMEDIC,FIRE DEPARTMENT,88770
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
COORD OF STREET PERMITS,CHICAGO DEPT OF TRANSPORTATION,81552
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
DEPUTY CITY TREASURER,CITY TREASURER,163656
PARAMEDIC I/C,FIRE DEPARTMENT,108096
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,107604
CAPTAIN-EMT,FIRE DEPARTMENT,151764
PARAMEDIC,FIRE DEPARTMENT,62466
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
FIREFIGHTER,FIRE DEPARTMENT,99876
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,102696
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
ANALYST - MAYOR'S OFFICE,OFFICE OF THE MAYOR,63336
CIVIL ENGINEER V,DEPT OF WATER MANAGEMENT,108816
CHIEF OPERATING ENGINEER,DAIS,134888.04
MASON INSPECTOR,DEPT OF WATER MANAGEMENT,111113.64
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
EXECUTIVE DIR - BOARD OF ETHICS,BOARD OF ETHICS,151128
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
BOILER INSPECTOR,DEPT OF BUILDINGS,113588.76
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,94368
DETENTION AIDE,DEPARTMENT OF POLICE,86016
DETENTION AIDE,DEPARTMENT OF POLICE,86016
PARAMEDIC I/C,FIRE DEPARTMENT,91662
DETENTION AIDE,DEPARTMENT OF POLICE,71436
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
CAPTAIN-EMT,FIRE DEPARTMENT,151764
FIRE ENGINEER-PARAMEDIC,FIRE DEPARTMENT,117384
ASST TO THE ALDERMAN,CITY COUNCIL,85596
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC I/C,FIRE DEPARTMENT,115308
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,105624
DIR OF PUBLIC AFFAIRS,DEPT STREETS AND SANITATION,114384
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
LIEUTENANT,FIRE DEPARTMENT,123420
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,118512
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,90036
POLICY ANALYST,BUS AFFAIRS AND CONSUMER PROT,73524
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
CAPTAIN-EMT,FIRE DEPARTMENT,151764
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION,93624
DIR / COMMUNITY LIAISON,FIRE DEPARTMENT,97548
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
FIELD PAYROLL AUDITOR,DEPT STREETS AND SANITATION,70812
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,82092
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,118512
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
ELEVATOR INSPECTOR,DEPT OF BUILDINGS,141377.64
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,52008
PARAMEDIC I/C,FIRE DEPARTMENT,91662
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
AREA COORD - CAPS,DEPARTMENT OF POLICE,119436
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER,FIRE DEPARTMENT,99876
PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),FIRE DEPARTMENT,115938
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,69360
PROJECT MANAGER - AIS,DAIS,94680
MANAGING DEPUTY COMMISSIONER,DEPARTMENT OF AVIATION,190044
PARAMEDIC,FIRE DEPARTMENT,93252
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,98220
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
BATTALION CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,55932
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION,117624
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,108864
PROJECT MANAGER - AIS,DAIS,83208
SUPRVNG BUILDING/CONTRUCT INSPECTOR,DEPT OF BUILDINGS,148860
PARAMEDIC I/C,FIRE DEPARTMENT,104430
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
DETENTION AIDE,DEPARTMENT OF POLICE,71436
PARAMEDIC,FIRE DEPARTMENT,93252
